         60386757 function calls (60386743 primitive calls) in 24.602 seconds

   Ordered by: cumulative time
   List reduced from 271 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.178    0.004   26.243    0.525 C:\Users\shria\Desktop\razorpay_buildathon\revive\benchmark\official\revive_pipeline.py:60(run_revive_cycle)
    12550    0.476    0.000    6.001    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\context\assemble.py:104(assemble_context)
    12550    0.140    0.000    5.799    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\valuation\price.py:116(price_candidates)
    12550    0.637    0.000    5.700    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\candidates\generate.py:39(generate_candidates)
       50    0.011    0.000    5.156    0.103 C:\Users\shria\Desktop\razorpay_buildathon\revive\allocation\allocate.py:24(allocate_portfolio)
    91200    0.417    0.000    5.120    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\valuation\price.py:55(_price_one)
       50    0.279    0.006    4.714    0.094 C:\Users\shria\Desktop\razorpay_buildathon\revive\allocation\lagrangian.py:128(lagrangian_allocate)
   502000    0.712    0.000    4.137    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\allocation\lagrangian.py:70(_best_action_eligible)
   128850    0.383    0.000    2.742    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\simulation\ids.py:10(deterministic_id)
 22142955    2.460    0.000    2.460    0.000 {method 'get' of 'dict' objects}
    91200    0.122    0.000    2.459    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\candidates\generate.py:30(_candidate_id)
  1755655    1.569    0.000    2.449    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\allocation\lagrangian.py:55(_reduced_value_paise)
    91200    0.334    0.000    2.054    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\valuation\enrv.py:59(compute_enrv)
   521820    0.543    0.000    1.989    0.000 {method 'join' of 'str' objects}
    12550    1.268    0.000    1.910    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\context\history.py:197(contact_counts_from_opportunities)
    91200    0.283    0.000    1.861    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\valuation\predictor.py:70(estimate_action_probability)
  3478950    1.192    0.000    1.446    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\simulation\ids.py:13(<genexpr>)
   289220    0.333    0.000    1.399    0.000 C:\Users\shria\AppData\Local\Programs\Python\Python313\Lib\json\__init__.py:185(dumps)
   273600    0.120    0.000    1.381    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\candidates\generate.py:26(_params_key)
   550550    0.892    0.000    1.092    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\valuation\money.py:8(bankers_round_paise)
       50    0.020    0.000    1.065    0.021 C:\Users\shria\Desktop\razorpay_buildathon\revive\simulation\observation.py:102(get_observable_state)
    98250    0.358    0.000    1.016    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\simulation\observation.py:83(_record_dict)
   289220    0.299    0.000    0.999    0.000 C:\Users\shria\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py:185(encode)
  1161477    0.511    0.000    0.994    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\allocation\tiebreak.py:9(sort_key_candidate)
   103750    0.358    0.000    0.849    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\valuation\cells.py:70(shrinkage_estimate)
  2269767    0.528    0.000    0.765    0.000 C:\Users\shria\AppData\Local\Programs\Python\Python313\Lib\enum.py:200(__get__)
    91200    0.493    0.000    0.698    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\candidates\feasibility.py:42(evaluate_feasibility)
    12600    0.417    0.000    0.675    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\sentinel\degradation.py:16(detect_degraded_cohorts)
    12550    0.124    0.000    0.662    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\diagnosis\diagnose.py:15(diagnose)
    78650    0.129    0.000    0.660    0.000 C:\Users\shria\Desktop\razorpay_buildathon\revive\recovery\valuation\enrv.py:36(_enrv_interval)


